scope,condition,strategy,budget_tokens,eligible_n,coverage,pass_at_1_at_budget
condition,original,eig-tests,500,0,0.0,
condition,original,eig-tests,1000,0,0.0,
condition,original,eig-tests,2000,0,0.0,
condition,original,eig-tests,4000,0,0.0,
condition,original,eig-tests,8000,0,0.0,
condition,original,one-shot,500,1,1.0,0.0
condition,original,one-shot,1000,1,1.0,0.0
condition,original,one-shot,2000,1,1.0,0.0
condition,original,one-shot,4000,1,1.0,0.0
condition,original,one-shot,8000,1,1.0,0.0
condition,original,random-tests,500,0,0.0,
condition,original,random-tests,1000,0,0.0,
condition,original,random-tests,2000,0,0.0,
condition,original,random-tests,4000,0,0.0,
condition,original,random-tests,8000,0,0.0,
overall,all,eig-tests,500,0,0.0,
overall,all,eig-tests,1000,0,0.0,
overall,all,eig-tests,2000,0,0.0,
overall,all,eig-tests,4000,0,0.0,
overall,all,eig-tests,8000,0,0.0,
overall,all,one-shot,500,1,1.0,0.0
overall,all,one-shot,1000,1,1.0,0.0
overall,all,one-shot,2000,1,1.0,0.0
overall,all,one-shot,4000,1,1.0,0.0
overall,all,one-shot,8000,1,1.0,0.0
overall,all,random-tests,500,0,0.0,
overall,all,random-tests,1000,0,0.0,
overall,all,random-tests,2000,0,0.0,
overall,all,random-tests,4000,0,0.0,
overall,all,random-tests,8000,0,0.0,
