condition,strategy,k,n,pass_at_1
ambiguous,eig-tests,0,5,0.2
ambiguous,eig-tests,1,2,0.5
ambiguous,eig-tests,2,1,0.0
ambiguous,eig-tests,3,2,0.0
ambiguous,one-shot,0,10,0.2
ambiguous,random-tests,0,6,0.3333333333333333
ambiguous,random-tests,2,1,0.0
ambiguous,random-tests,3,3,0.0
incomplete,eig-tests,0,4,0.5
incomplete,eig-tests,1,3,0.3333333333333333
incomplete,eig-tests,2,2,0.0
incomplete,eig-tests,3,1,1.0
incomplete,one-shot,0,10,0.3
incomplete,random-tests,0,6,0.16666666666666666
incomplete,random-tests,3,4,0.0
original,eig-tests,0,6,0.3333333333333333
original,eig-tests,1,1,1.0
original,eig-tests,2,2,0.0
original,eig-tests,3,1,0.0
original,one-shot,0,10,0.2
original,random-tests,0,4,0.75
original,random-tests,2,2,0.0
original,random-tests,3,4,0.0
